Tweet,Emotion
Sir .. please support middle class ..Pvt school ki fees govt ko pay karni chakiye ..nahi to sabhi Pvt school wale govt schools ke taraf jayenge ..aur govt ke pass itne school nahi hai ..,Neutral
STET ka result aa gaya kya?,Neutral
agr koi ka Noir LT0 mobile dena chahta he to muj se rabta kare. thanks,Neutral
Delhi ke kisi bhi area mein follow nhi ho rha lockdown,Neutral
Moj Ko QMobil M6 lina ha khredna ha ager ksi dost k pass ho to is namber moltan Rabta krna ok CH RAUF,Neutral
Sasural wale hai Gandhi family k kaise chale jayenge,Neutral
Is ka kya scene tha,Neutral
bnd tere dil me kya hai wo public har shaam dekhti hai to faltu ka nautanki na kar zehrile hippopotamus,Anger
The SHER IS BACK.... YO YO HONEY SINGH,Happy
Main pahle hi aapko follow kar chuka hun,Neutral
"People on their stories be like, ""idfc, idc, i love to be alone, depression is my best friend"". . . Dekho,hum DM mein samajh jate hai ki kon kitna akela rehna chahta hai.",Happy
"Thank you, Yasser. Check out our earlier videos too. I think you will enjoy them. Poore lockdown mein yahi chal raha hai.",Happy
#UzmaKhan takhedaar ki beti ka koi kuch nahi kar saakta,Neutral
jo kam mil ke na kar payii #Respect #Love #SonuSood #SonuSood_A_Real_Hero We all love you bahas ho gayi teri toh kuch kam kar le tu bhi,Happy
"Bro is ka ilaj bnd krna b to nai ha, ap sb kuch bnd kr do gy ye tb b pehlna nai rukay ga ab ye local transmission ha. Ap health system ki baat kr rahe ho idr saare system tabah hn bnd kr k ap poori industries k bera gharak kr do gy. Ye lockdown ko sponser kn kry ga.. ??",Neutral
Nai nai tumhaa baap haa jis nee modi koo abhinandan gift Kya thaa oo yaar proof,Anger
International wali baat he ye to... Super song,Happy
Sir ap financial support lijiye hum logo se. Achcha kaam kr rahe h. Sarkar ne sirf bewkuf bnaya h logo ko. Pura bollywood mil k finance support de sonu bhai ko. Love you bhai.,Happy
Muj ko Q mobile noir S2 Chahy . range /with Waranty,Neutral
mjhy ye mobile bechna hai jis ko chahiye contact kare. Karachi.,Neutral
Yo yo hany singh is King back so sweet and love you boss singh is King hany sing ab you tube pr agg lga dega,Neutral
"Sir, looks like missed the opportunity, is there any chance in coming months to invest? Nifty aur girega kya? Sir...",Neutral
Sir Jha aap kii Sarkar hai wha log paidal Ghar jaa rhe hai UP&amp; Bihar etc. Maharashtra me aap kya krogai logoo ko pata hai Gandi politics band kro nhi toh Bye bye BJP Sarkar. I hope you understand sir.,Anger
: Aik sugar comm ki report me JKT ka nam ajae to wo apny bndy govt se nikal ly to kal govt khatam ho jati hai khan ki. But,Neutral
I like this downtown song kya expression hai aapka.,Happy
Abhi class li hai...,Neutral
Meri pyare guru bhaee aapko gana mujhe bahot achchae lagta hai..... I'm waiting when your new song will be come.......,Neutral
Ye picture politics nhi hai dogle and isko dhong nhi to aur kya hai ye,Neutral
Hehe... Tere Pakistan mai dum nhi h lockdown krne ka... Gandjale aise hi india ki tarraki dekh kr jalte raho tum,Anger
: . Dawood Ibarahim kuch bada karney ki soch raha hai. . Hizbul Mujahideen planning new attack on Indi,Neutral
Main yeah set black color mein purchase krna chahta tha. Laken hyderabad mein available nahin that. Maine kal rat KO he new blue color mein purchase kiya laken mujhe color passand nahin aya. Warranty Dec se start hogi. Agar kissi ko purchase ya black color se exchange krna. Ho to rabta kren. Hyderabad,Neutral
ye bhot kush hote hai. hum log to india ke news channle par aa gye ...apne friends.ristedaro etc. ko btyege jake hum to india ke news chanle par aaye the... Pakistan ke jahil log,Neutral
Record Tod h bhai............. Baby honey singh kab a raha h???????,Happy
Mera weight ho gaya hyy thoda bhari...love that line ...no one rap batter tha honey singh... happy to hear you again,Happy
*When someone says* Tum apni koi acchi si pick bhejo na...... Le ugly me :,Happy
Aap ko barkha dat ki bat per yaqeen hy . Gen hameed gull or Gen shahid aziz ko bhi sun lain.Bahadur gen ki patloon geli thi PM ki minnaty kar raha tha jang bandi k lye... Ye politician hi hota hy jo khud gali khata hy lekin apny foji ko zalel nahi hony deta.,Anger
"Ratan Tata k peechhe agency lagaa degi Sarkaar....agar sach me aap sahi hain, department accounts ka hai hi...to hisaab dene ki bakaye propoganda kyu...chori kar rahe ho kya?",Anger
Bara pathetic argument dhonda hai. pori govt corrupt hai Sindh ki,Anger
Bhai ap bht achi video banata ho or apki voice amazing ha plzz give me heart,Happy
YouTube hang ho gaya hai,Neutral
"Kitna aham hai aaj ki Sugar Crisis report ka Public hona?, Shahzeb Khanzada on YouTube",Neutral
I am very very happy today kyonki YO YO HONEY SINGH JI ka NEW SONG AYA HAI. YO YO HONEY SINGH IS MY GOD,Happy
Ye h Sacha pyar I love this song Ian priya kashyap,Neutral
#ConsumerCourt sir aap Airtel par karvaye kare phale mujhe harresment kar rahe the aab frod bhi karne laghe hai sir aapne Paytm wallet ka pin dedeta to aaj mere account ko hack kar lete mera account khali karke mujhe lut lete ye Airtel wale,Neutral
well done bro..like ur video %..but truth pta ni kitna sacha hai,Neutral
Honey Singh sir ji ne apna kaam kerdiya ab hamari baari hai jldi trending pe laate hai song Team and fan club honey Singh Love you sir ji,Neutral
Ary Bhai koe batae ga conform k is ki sms memory and contact list memory kitni hai.???,Neutral
Main ne j7 mobile seals krna hai agar kesi ne lena hai to contact kren from Lahore,Neutral
Sab ki what lagne wale hai yo yo is back,Happy
: hum middle class logo ka climax b tab ata ha jab jawani khatam ho chuki hoti hai.,Neutral
": Ye lockdown nahi asaan, bas itna samjh lijiye, ek corona ka dariya hai aur bach ke jaana hai...",Neutral
Please usman Bhai Koi mujhy to bataye Ac Sahab ke daftar gaya Sirf Naam likha awr kaha jawo,Neutral
Aur sindh sa jo salon sa zulm ho rh hai uska aazla kun kare ga,Anger
Ijazat k spelling tu sahi likh lety,Neutral
Aree dislike ka option bhi bnado koi !,Neutral
Aj sa Yo yo Hani singh nahi hoga Yo yo guru hoga I am bige fane on guru Like me frindsh,Neutral
AoA mery pas honor x month wrnty /10 conditions GB agr koi dost vivo v1 pro k sath exchange krna chata he to content me gujar khan rawal pindi,Neutral
Awaam ko to shuru say hi loog bura keh rahay hain. Civilised nations ko danday say band kerwana para tha Europe mein. Yahan ki awaam ko khula choor diya hai. Sab open hai to log to baher niklaingay hi yaar.,Sad
Heraaa chkk meriye hiryee yo yo honey singh is back,Neutral
mujy. yeh mobail khreedna ha mujhy is ki thori detail chahy \r\nis bettery timmibg kesy ha hang to nhe hota r bettery kitny amh ki ha text me,Neutral
"Sir, ye log kya samjhenge aapki baat ye to chamche or gulam h.",Anger
yar apki awaz change hogyi hein are you ok,Neutral
"Bhai you are great, logo ko apsai umed hai kyuki madad mil rahi haii, jaha sarkar nahi pahunch pa rahi waha ki team pahunch rahi hai, Centre n State Govt should support n provide more sources n resources to this team.",Happy
": I want to say to what says to me : ""Zindagi ke mazzey le toh aap le rahe ho lockdown mein""",Neutral
Sir ap ya ya stories kdr sa lyty han sari?just asking for my knowledge,Neutral
plzzz guys focus kro sb song py. agr asim ka song agy nikal gya hm sy to bhttttt bara thapad hoga sb fandoms py #SidHearts #SidNaazian #Shehnaazian #BhulaDungaFtSidNaaz,Neutral
BHAI ROZANA VIDEO DIA KRO PLZZZ I LOVE U R VIDEOS,Neutral
ye apki apni soch hai..army k khilaf bolna aur aik adaary py critisism krny main bht frq hota hai..army b aik adara hai uspy b critisism ho skta hai..,Neutral
Mai apna mobile sale karna chahta hu infinix s5 koi lyna chahta hai to contact kary /10 condition charger not open every thing is ok available in faisalalabad nishat abad,Neutral
Its not very funny or not boring but mazaa nhi aaayaaa????,Neutral
I know about u meri ek request ha plz tum NASA pa ek video bano,Neutral
Why you all are saying first koi award milnay wala hai Kya,Neutral
Jab koi kafir kehta hai to dhoond ke lana padta hai...batana padta hai ki kafir kon hai? Aur tu bhi isi bharat ki mitti ka hai arab se hamara kuch bhi lena nahi hai..tere mere sabhi ke gharwale is mitti pe hazaro saal se ji rahe the..inhone dara ke kuch logo ko muslim banaya..,Neutral
"easy hoja bhai, Tamil films bhi popular hein Pakistan mein.",Neutral
Woh hacker pe nai hackers pe hai,Neutral
"PM IK par tho app trust he nai kartay , aisa karo khud he faisla suna doo, apni adalat laga kar, kyonk u r a DOG",Anger
Mein keh raha tha mein dekha nahi aapko clg mein,Neutral
Mere pass j5 f. .10/10 condition none warranti wala hy agar koi Lena chata hy to msg karle agar paise bante hy pir msg me lik ly... contact .... Mansehra,Neutral
Veri nice Mgr sir app apne mulk Pakistan ki hairat angaiz malumat duniyan ko q nhi dete yahan bhi to unbelievable log or unbelievable hadsaat hote hen u know about,Neutral
Agar koi realms X3 superzoom pindi ya Islamabad we sell Krna Chahta h to rabta key,Neutral
I totally agree with this guy saalo se to yaha saare millionaires hi the and unemployment ka word to kabhi suna bhi nahi tha kyoki Italy ki raaj maat india mai raj kar rahe thi na yeh unemployment to mai aae hai,Neutral
Sir description may to likha hoa ha k actress ha. Or kisi banday k sath thi or us banday ki biwi aa gyi ha uper say. Pata ni such ha ya jhoot.,Neutral
hello everybody is video ke like a target million,Neutral
Sir Imran khan ko chahihay Fawad ch ko chand per hi bhaj dain. Takay wo apna chand khud hi dhak lia karay. Aur apni Eid khud hi kia karay.,Anger
agar opp leader nae aaya to kia PM ko bhi nae aana chahye tha? opp leader bol raha h wo beemar h IK k pass kia bahana tha?,Anger
Helo Brothers I Main Apna Cell Z4 Sale Karna cha rha hon VIP Condition hai hand use hai Original Assacories Hain if any Interested then Call me Demand Final,Neutral
Hahah mom bilkul hi eysi hain but I love hear &lt;3 mamma abhi tu ap meri dost thi hahaha waki ak dafa ye hi mera sat hua tha,Happy
baap re public following superb yo yo haney singh,Happy
Bb ur biggest fan ek suggestion h gaming bhi start kar progress k liye comfort zone se bahar nikal try other things maybe roasting or live stream,Happy
Bhai sab he chor hain.follow back nahi kana koi bat nahi hai.,Neutral
Note referbunsed ah rhi han pakistan ma zabdest mobile han ma use ker rha ho note7 live demo ma s7 edge sy bi kaml ki han note,Happy
Religion ko betterment ke liye change na karna...yahi islam ki problem hai...jab bhi change ki baat karo...aap jaise educated aa jate hai...or un sab galat baaton ko support karte hai...,Sad
Pls Don't Watch Guru Randhawa's New Song Till st Dec... Jbb YoYo Ka Gaana Trending P Aajayega Toh Dekkhena,Neutral
Abay bta tau dia k chai k sath khate hn punjab mn huti aksar,Neutral
Tell me one thing yaar Who uploaded video.. Kya ye sach hay????,Neutral
YouTube hang ho chuka hai view count karne main View ruk gayii hai This is Yo Yo power,Neutral
: Sab theek hai but how you guys purchase shoes online? Mujhe to apne paon ka size hi aaj tak sai se ni pta chala.,Neutral
Jaimulniwasi Ye kis jagah ki photo hai,Neutral
Love it so much bus intazar main bheta rehta hun kai apki video kab ayi gi,Happy
Afridi ke baat inho ne tb to nae mani yeah to shukar kro India mein uri aor pathankot hue the jiske baad Pakistani actors aor kch ex cricketers ko beizat kr ke wapis bhj dia gya uske baad Pak ke tv channels mein PEMRA ne Indian content ban krwa de the.,Happy
Need panel qmobile a1 lite..muje a1 lite ka panel chaiye...ya kisi ne board lena ha wo bi rabta kr le...RAWALPINDI...01,Neutral
sit meri beti Victoria primary school rajpur road civil line Mein padhti Hai uski class mein total bacche Hain school principal th class ke bacchon ko class mein promote karne ke rs mang rahi Hai jiski koi sleep Nahi de rahi please ham parents ki,Neutral
Kya ho gya sir??,Neutral
Ada ek BAAT kahu kash Hume BHI Achi taleem Mili hote hum issue aur inke logical post ko weightage karte issue ye NH ke PPP pr BAAT Kar Raha hai issue ye hae ye Kisi anchor ke lye BAAT Kar Raha hae he is not sympath of Sindh land or any other area.,Sad
Cmon we expect a lot from u.. Bekar song,Neutral
": Hame kutto se kya seekhna cahiye? ~ Loyalty, royalty, love Meri ex ne kya seekhna ~ katna hr kise ka kaat rhi hai",Happy
Tmhy or saleem lefafi ko paisy he Imran khan ki waja say melty hain ghar jakr tm tabbar samait khan ko dua daity ho hamy pata hai,Anger
Good mobile this price ye manna para ga humri awam ko ya ka mila phr best ha otherwise ni mana lia excellent ha eski kemat b kam ha,Happy
#SaveAdarshCredit Resp. modi ji I hope to u sir lakhs poor people's ke sath aap na yay karoge.#SaveAdarshCredit,Neutral
Karachi walon ki soch machar colony tak hi rah sakti hai,Anger
baap ka sab family members sab is dharti pe nai hai..bas baat bacha hai..wo bhi chala jayega right political time pe,Neutral
Ham log rajasthan me h.. Chhattisgarh jana chahte h.. Kiya aap help kr sakte ho....?,Neutral
Aisa konsa treatment hai ye? Humein bhi btao!,Neutral
Haan aur bc tum piece-full Supremacist.,Anger
Tabaaahhiiiii.....king is back....,Happy
Kya koi bata sakta hai mera form reject kyun hua or ab mujhe jya krna chahiye..?,Neutral
Agr koi bhai poco x3 nfc k sath exchange krna chahtha hon tocontact me02,Neutral
Aapka city koun sa hai aur aapke advocate koun hai agar ho sake to is number me send Kare Mai chahu to din me bhar aa sakte hai Mohan singh,Neutral
Hello fraands tatti gana sun looo hit like if you felt same,Anger
: Kon kon chahta hai ki sana live aye.. Kitna time ho gaya hai ek baar to ana chahiye yr kal Mv bhi release hone vala ha,Neutral
Allah will get ur revenge mere bhai Allah k han bht acha insaaf milta hai.,Neutral
"Good vedio Bhai Sahi kaha,kyun k kuch cheezen waqi staged or drama hoti hain to attract people and get veiws",Neutral
Bhai don't disrespect women. Baki song no h. Love from imran Khan fan.,Sad
Real love jo parents karte hai mummy's ko credit hamesha sab dete hai papa log ko kam milta hai,Neutral
"Walaikum As Salam, Ufone ki janib sy Bahawalnagar mein esi koi restriction nahi ha. Please apna number humein DM mein share kijye taa ky apky internet issue ko further check kia jae, shukriya.",Neutral
Paisa bahut hai republic k pass.,Neutral
Taleem or tarbiat bata rahi ha kay ap baysharam insaan hain.,Anger
Zatyat m dr murbi otry or khaa ap tu qadyani hy waqar sab yaa qadyanio ka tarekaaa hy jb koi jawb ni hotaa personal hu jty,Neutral
"Me too. I miss power talks, eating together, discussing people's fashion choices and what else party toh kar hi lete hai.",Neutral
"na karo wo din kabi nai ayega, han ager wo kisi or ke sath ho to wo banda zeher zaroor lagyga",Neutral
...Lets fight against hate... We should all live together and help each other (Hum sabhi ko mil kar rehna chahiye or ek dusre ki madad karni chahiye...),Neutral
Jihadi Ko Kun challage karke apna sir khapyega. Tum jaise suwar se to bas tu talak or gali m hi baat Karti chahiye. Suwar sale asmani kitab se aage sonch nahi pate or baat karte hain knowledge ki,Anger
God bless you dear Allah aap ki aur taraqi karega inshaallah,Happy
Very very nice rap rap bhut acha,Neutral
"Acc to AIIMS Director 'Picture abhi baaki hai mere dost' June July would be the peak for us, he said.",Neutral
i hate Trailer why no hindi Trailer hindi me kyu nahi ati film yo yo ki,Anger
Supppppppppb hitttt song Like this song guys Jisko bhi psnd aaya ye song like my comment,Happy
Great trailer i think picture ekdam damdar hogi song wali,Happy
"Commodities par corona cess laga do, subsidies thode time ke liye suspend kar do, free ka batna band karo, jise delhi se apne ghar jana hai use jane do. lockdown continue rakho. Very simple",Neutral
"kuchh bhi pel dene ka...there is everything in video cars, girl, foreign locations but NO LYRICS.",Anger
Owsm Song bhai ek no me,Happy
: At least he is good in two things that most of his likes are: racism and whining Quota ka rona ronay waale zara NED aur Kara,Neutral
Reall story sir main chata hu os pr ek book liko really sir,Neutral
Meri lines chori kry ga ab tu haiin,Neutral
Me mummy please tinde ke alava bhi kuch aur bana liya karo Mummy,Neutral
Uncle app nai video kab banayen gay please reply me,Neutral
Kya baat ha sir maza aaaa gaya keep it up,Happy
Zaheri bath hai when you will go faster you 'll burn more calories as compare to slow movement. But if there in no slope,Neutral
Kuch khuda ka khof Kar lain aap log Imran Khan dushmni mein such jhoot ki pehchan bhool gaiy AP log Jab news channel nay clarify Kar dia k yeh ki pics hain tu ap log bhi ab bs Kar dain..,Neutral
Bhai top trend pr kuch to karo... Maamla bahut sensitive h please,Neutral
Assalam-o-Alaikum . Punjab police ki kaarkrdhgi nihayat hi kharab ha Fir file krny se inkaari ha S.H.O Police Staion Factory Area Kot Abdul Malik Disst Skp Lihaza Govt Pakistan koi Action le .Thanks .05,Anger
Gadar ko sher banany se phely ye bhe socho ke sher blhy jungle ka badshah ho but hota janwar he hai kam words me bht bari bt hai as he road pe khry ho ke sochna tu samjh aa jaega Pakistan sirf punjab nhi hai jo punjab ko sanwarna hai sirf khaty sindh ke hen ye provinces understnd,Neutral
Ek rap me saare confusion clear krdie sabke,Neutral
Aapki iss bheis ye long standing masla toh solve hua Yaani k designer humse kaprun k paise ziada leti hai kyu k bechari AC ma bethti hai uska bill b dena hota hai Darzi toh garmi ma beth k seeta hai na toh usko faltu paise nh dete,Neutral
yeh fair game nai thi I don’t like it,Anger
acha Imran khan ne to bola tha ki India se direct war nhi lad sakte,Neutral
I love your channel ap to the point bat krty hain .. or bilkul Qatar ki kamyabi ki wajah paisy sahi jaga invest krna thi jo kr agr aj Pakistan me kiya jaey to mulk kaha se kaha pohanch jaey,Happy
yo yo is bAcK bhai ka song aaya,Neutral
good information . ap ki awaz bhot pyari hai love u bhai jaan,Happy
Saare baat chodo! crore mei! indian dikha do! Jise log bhi identify na kar paaye! Maan lege Abdul miya ke point mei dum hei,Neutral
Bhai welcome back... Nice song...Aab phir se music revolution start,Happy
Replay mat karna first video Play karna. Replay count no hota as a view.,Neutral
Solid song yo yo honey singh lga di Bhai song na to ab koi na tik pyaga,Happy
Agar kesi k pass /10 condition ma all accessories k sat rawalpindi ma ha or tk dana chata ha to contact ma,Neutral
Yr note Kaisa hai Jo use kr rahe hain. Set koi problem tu ni kr raha hai,Neutral
"yeh agya apna sher, shikari ke amdaaz mai. amazing yo yo , King is back, roar",Happy
Mere pas j6 plus hai dubai se ly kar aya hon mujhy peson ki zarort hai din use kia hai sara saman hai % clean hai,Neutral
Jo chor cort me the wo chadhi me aa gaye aur jo chadhi me the wo cort me aa gaye .,Neutral
"Hello sir your voice is mesmerizing me ,keep it up & please santa clause par vdo bnayen k is me kitni sachai hai or is ka maqsad kia hai",Happy
Mere pe ni hai Aap de do numbers agr hai Mai b dekh luga kha hai wo numbers,Neutral
"Modi supporters : Modi ji announcing Lakh Crore package Congress supporters : Come on, itna toh Sonia ji scams mein nikal deti thi humare liye",Happy
"Na tu Balochistan ka kuch kar sakta tha na kar sakkay gay, Kashmir hum lay kar rahe gay, aur assam , khalistan ko azad karray ray gay. Teray raw kay jhood jald khatam honay walay hai. Laddak ek trailer hai , picture abhi baki hai",Neutral
Aap irctc pe jate ho to waha special trains ka jo list hai usme show kar deta kiski booking ho rahi aur kon awaiting hai check dat,Neutral
Tere post ko pad ke Lagta hai jhahil hai tu tujhe reporter kisne banaya re. Sikh Kuch se. CA&amp; G q Audit nahi kar raha ya ya kab karega iski information tujhe nahi doob mar kahi jake.,Anger
"After seeing this tweet Tweeter be like: kon h tu, teri aukat kya h",Happy
Na to sarkar kuch karegi na tum jaise dalal is pr koi prime time karoge haddiya to atak jati h bjp ki pol kholne mein tum dalao ki... Ye hi koi congress leader hota to ab tk tum dalal randi rona macha dete.,Anger
Wase isi lye apko is ministry se farig Kia gya tha shayad.,Neutral
mery pass a0 ke cassing r camera availble ha board r penal kharab ha kisi kop chahiye ho to contect kry rawalpindi taxila wah contect no,Neutral
Jaldi video bnaya Karo bahi and also good job best of luck,Happy
Or us bdkirdar mard ko sangsar Kiya Jana chahiye,Anger
Assalam.o.ahlikum I am from karachi And i sale my infinix hot pro complete saman with month warranty Price fix Noshad from karachi,Neutral
#AamirLiaquatOurPride aur lanat hai aise pride pe.,Anger
Apko unfollow kiya ja rha hai,Neutral
Wowwwwww just amazing song Ek like to banta he Hit like,Neutral
ma na s6 ka bord sell karna ha auger kasi ko zurarat ho to count me,Neutral
ISPR ki teach hai bro,Neutral
like bdte ja rhe h par view ruk ge,Happy
"Abe chiklandus, Pandemic ki wajah se ho raha ye haal. Ye reccession Tune Pandemic by Vividh predict kiya tha kya.",Anger
Spread this Video Bta do power yoyo ki,Neutral
Aur NDTV ki news thi.. I dont know NDTV Modi wala Channel hai ya ni.. ravish wala Channel hai yeh.. agar lockdown jis tarah we hua agar ni hota to total infected over L aur death over L.. aisa main ni NDTV wale bole.,Neutral
Kuch khuda ka khof Kar lain aap log Imran Khan dushmni mein such jhoot ki pehchan bhool gaiy AP log Jab news channel nay clarify Kar dia k yeh ki pics hain tu ap log bhi ab bs Kar dain..,Anger
"If somebody noticed , he said jo package diya gaya hai aur ""aaj ka package jod ke"" Lakh Cr banta hai! He's not giving separate Lakh Cr , which would account for % GDP (approx) #Lockdown4",Neutral
"Finally jisne badshah ko ,ikka ko accha mukam dia is finally coming ...to rock",Neutral
dist kohlu k wapada apna man manni karty hain aur ganty loadshedding karty hain..ab batain hum Pakistan ka hissa hain ya kisi aur mulk ka hamaray sath ye saluk kiun..main PTI ka supporter hon plz meray leader is py notice lain aur in wapada walo se nijat dilain,Anger
Lagta to hai aap bhee aaj DCP west delhi office aaye the ?,Neutral
Office ka work ni h kya karne ko bora aapke paas,Neutral
Dload karta acha song,Happy
Pahle ke to mile hi nhi hai jinke paas PSV bedge nahi hai unhe pahle unke liye to kuch karo sir,Neutral
King wali entry boss Ki,Neutral
ABSOLUTELY GREAT VEDIO. . BHAI AP wonder of the world py b VEDIO bnahien na. Specialy TAJ MAHAL OR WALL OF CHINA KI HISTORY PR,Happy
Mobarakh ho Sir aap ko. aap k lakh subscribers ho gaye . Aap ko ak baat bolna chahoon ga k aap ak na e video banaye ppp mean Pakistan pupils party or liubya k country ka fileg ak hi he us pay aap ak video banaye InshaAllah us video pay bhi ache vews aye ge and Ilove your chenal,Neutral
Pichla tweet delete kyu kia bhai,Neutral
Jab se ae song aaya h tab se din har din sunta hu Awesome song and heart touching,Happy
Guys Qmobile pata nahi kasy logo ko ulu bana raha ha. Is mobile ma Dual cam laga howa ha but uska koi use nahi. Please check before purchase. is kisi aik cam k agy hath rakhy andcapture kery pic.Background blur kerna aik internally software ka kam ha. Please beware from Qmobile fraud.,Anger
khaa apni maa ki kasam aur bata dey tu RSS se nahi hey ?,Neutral
Main sale krna chata ho woth month waranty RS / urgent sale Contact lahor multan,Neutral
: Woh toh tumhaare baap urf Bajwa ki bhi aukaat nhi hai....but Balochistan jaane k l,Anger
O my god new song is coming of honey Singh ya huuuuu mza aa gya yaaro jaldi realise ho jaye Ghana.. Plz tseries honey Singh bhaut Sara ghanna ...plzzzz,Neutral
Fist fights ho gayi...Chinese troops are in Indian territory but yes Abhi kuch nahin hua,Neutral
Arey Arey Irfan bhai ko peechay chornay ka irada h kiya <br />ANY WAY BOTH ARE BEST IN THERE OWN BUT This Was Brilliant!!!,Happy
Agya sbka baap....king is back,Neutral
amazing video as usual..app mai hijack kiye gayai Pakistani plane py ek video banai..jo Zia ul haq ki dour mi howa ta.,Happy
Beta tu qadiani ban ya muslim ye tera fayl hai humara nai . humara kaam tha batana samjhana agr aqal k andhun k samny quran pak ki ayat kia tumhri apni kitabon ki likhi hui tehreerain b dikha di pages b batadie dekha b dia to khud parhle.. Chal basic sawal puchti hu,Anger
Aap apni body phele jesi bana lo aap super hit se update hit ho jaoge yo yo honey Singh is back,Neutral
Kya song bana dya yaaaaar itni feeling my heart goes somewhere plz get me back..,Happy
Kamal hai... Asking a Lady... Who is getting bread and Butter from Media Virus...,Anger
"Kilaas gyi kisi ki ja burnol lga le, aur fake news chla",Anger
Sir kahan mil raha hai,Neutral
bro sory but yah case main study kia ha so plz wo bta btao jis ka pata ni wo mat bato jis ka sab ko pata ha or news me bi bar bar ay ha plz bro dnt mind.....,Neutral
Kise ki pass e8 mobile hy muje whatsapp kardo as number py i buy q mobile e8,Neutral
Sulit nawaz Sharif sahab hum ap k ashan mind h and with u ever ever and forever in sha Allah love u mein sahab,Happy
Welcome!!! ....bhai k followers bhi ho gaye hai... aap lockdown mein kaha khoye hue ho... online aaya karo regularly...,Neutral
Is banday ny b ki subsidy di thi.. sabse bara chor to yeh khud hy..,Neutral
"Mein ne nhi kha, ye tumhari inner voice hi hey. Jo kehti hey ye sab ramzan mey theek nhi. Suno or aml Karo.",Neutral
Kuch smjh nhn ati haqeeqat kya hy aur propaganda kya,Neutral
Sir logon ko gumtah mat karo week ka lockdown karke month ho gaye h or corona bhi gya nhi to kya benefits aise lockdown ka economy ki band bja di sir sabki naukri khatre me log Emi kha se denge hmari Emi or hmari income aap doge crore logon ki jo income h wo aap doge kya?,Anger
Bhai bhot kharab system hai inka. Online kuch aur likhte hai and inke employees kuch aur btate hai.,Sad
Bhai agar bata dete k number kyun nahi hota to mera wawt zaya na hota. I have wasted my time,Neutral
Yar bhai mind na krna. Laddakh ka kia chakar please china go back k poster dikh rahy twitter py,Neutral
Night duty pai hai...koi bhi karta reh like or jo hi maan kare jiska....bas teri family ko khaana mil jaye mere dil ko sakoon aa jayega.....RESPECT.....yeh kya chutiya futiya likh raha hai..grow up....respect family your dad I resemble him and your mom....just don't be blind beta,Anger
Price should be under k. Redmi note pro is better option. Same processor hai aur price check karo. Nokia wale ab tak nai samjhe k market me jga kaise bnate hain.seekho kuch MI company se.,Neutral
"Ab yeh konsa tareeqa ha logon ku bewaqoof banane ka ... khair ham Khud bewaqoof bante hein , qasoor tumhara bhi nahi ha ... number insaan",Anger
Jb ap ne profile name likha tha mery pas tum ho,Neutral
Kya lockdown hona chahiye?,Neutral
dear Ali ......Xl0 ko ap ne mery R0 Q mob se exchange krne ka kaha tha ..... ager ap cexchange krna chty he to pl mery ADD pe send ker de .. aor apna home address b moje send kr de .. me apna R0 send kr doo ga . pl trust me .. by GOD//////,Neutral
Bhai aap YouTube pe face reval kro Mera koi Instagram ya Facebook nhi plzz reply me,Neutral
Lockdown k chalte aur covid k halaath dekh kar k IIMC ek better decision zaroor better le sakta tha/hai.,Neutral
nice bro mjhy apki videos ka he intzar hota hy,Happy
dafa clean bowled honay k bad dafa ki tiyari puri hai apki !!,Anger
